"id","title","subtitle","description","created_at","updated_at"
27,"Ownership","What happens with the content you generate on the service?","The content and the data you generate on services online is usually subject to copyright law. When your data are collected by services, they can be considered personal data.  It means that it is <strong>your content, your data</strong>: you can decide.","2018-01-16 15:26:04.444207","2018-01-16 15:26:04.444207"
31,"Governance","Your relationship with the service and the community","description","2018-01-16 15:26:04.535299","2018-01-16 15:26:04.535299"
32,"Guarantee","Some services will guarantee you certain features, or explicitly reject any guarantee.","description","2018-01-16 15:26:04.551182","2018-01-16 15:26:04.551182"
35,"User Involvement in Changing Terms","Are changes proposed as a request for feedback, or imposed unilaterally as a take-it-or-leave-it deal?","The terms are a contract between two parties, and it should not be changed unilaterally without consultation of the other party. Services should listen to what their users say and care about, and give them a vote in each substantial change.","2018-01-16 15:26:04.629039","2018-01-16 15:26:04.629039"
38,"Changes","Changes to the Terms","description","2018-01-16 15:26:04.682205","2018-01-16 15:26:04.682205"
53,"Unclassified","Points with case marked as ""none""","This is where we'll dump the points with case ""none.""","2019-04-01 06:59:58.460755","2019-04-01 06:59:58.460755"
44,"Jurisdiction and governing laws","Where can you sue, or be sued, for breaching of the rules?","What is the jurisdiction, what laws govern the terms?","2018-01-16 15:26:04.823277","2018-01-16 15:26:04.823277"
46,"Notice of Changing Terms","Are users notified when terms change? Are they given enough time to find out what changed and discuss this with each other before deciding whether to continue to use the service under the new terms?","Services need to evolve. But it is important that updating the service does not break the consentment with the user. Updates and changes to terms of service and privacy policy need to be properly noticed to users and to sollicit their agreement again.","2018-01-16 15:26:04.848995","2018-01-16 15:26:04.848995"
47,"Suspension and Censorship","Can they end your use of the service at any time?","Your account and your data are on their servers, so they control them. Which guarantee do you have that lawful content and lawful activity will not be censored or suspended?","2018-01-16 15:26:04.865589","2018-01-16 15:26:04.865589"
39,"Business Transfers","Is your data a business asset?","When you give your data to a company, you need to keep in mind that this company can get acquired by another company, with different policies. What happens in that case?","2018-01-16 15:26:04.704249","2018-01-16 20:39:37.181745"
40,"Logs","How long do they keep them?","description","2018-01-16 15:26:04.728943","2018-01-16 20:39:46.674767"
50,"Security","Protecting your account","This topic contains all cases which describe the effort of the service to protect your account from unauthorized access.","2018-08-29 20:06:49.793148","2018-08-29 20:06:49.793148"
54,"Payments","What kind of payment arrangements you will commit to?","When you accept the ToS, will you commit to re-occurring payments or automatic credit card charges, does the service require your credit card number, and what kind of privacy implications the payments terms have?","2019-04-19 09:16:23.29899","2019-04-19 09:16:23.29899"
52,"Content","What (not) to post.","This topic contains all the cases which define what an user is allowed or disallowed to post, publish and discuss.","2018-08-29 20:31:20.391412","2018-08-29 20:31:20.391412"
30,"Copyright License","How many rights do you have over your content?","Copyright law gives you control over how your content (texts, photos, videos, etc.) can be used, by whom they can be distributed, modified, etc. Sometimes, online services need your permission to perform certain tasks with your content. That's why they ask you to grant them a copyright license. But sometimes, the copyright license is so broad, that your content can be exploited by others without asking you.","2018-01-16 15:26:04.523498","2020-12-13 01:40:07.209989"
25,"Trackers","How are you tracked?","Covers any technology that allows services to track (identify over time, place, and between devices) a user. These technologies include but are not limited to:

- HTTP Cookies
- IP geolocation
- Browser Session Storage
- iOS Advertising IDs
- Device Fingerprinting
- Data de-anonymization/Data re-identification
- Tracking pixels","2018-01-16 15:26:04.38561","2019-09-28 21:20:39.749017"
41,"Personal Data","Can you control your privacy? Once a service has your personal data, how much control do you have over how it will be used and how long?",".","2018-01-16 15:26:04.75172","2019-06-20 08:14:38.226118"
55,"[Deprecated]","Vague/ill-defined or otherwise deprecated cases","These cases have unclear scope or are vague. Rather than deleting them, they are added to this topic.","2019-07-28 02:07:11.943373","2019-07-28 02:07:11.943373"
26,"Anonymity","Can you use the service anonymously?","The terms sometimes describe the level of logging and the level of data collection and which kinds of data the service is processing. Anonymity or the right to use a pseudonym can be very important for freedom of expression (e.g. for people exercising a certain profession, or people living in authoritarian regimes).","2018-01-16 15:26:04.425418","2019-09-28 21:17:06.202764"
56,"Types of Information Collected","Information the service receives from you","What kind of information, whether voluntary or automatically, does this service collect from you? ","2020-10-24 03:11:28.718084","2020-10-24 03:36:39.883072"
34,"User Choice","How much can YOU decide?","The level of choice that is left to the user.","2018-01-16 15:26:04.606459","2020-12-13 03:07:45.702633"
48,"Third Parties","""Data Processors"", ""Social Media Services"", ""Ad Services""...","How much data is processed by external companies? What do these third parties do with a Service? How intrusively is your data handled? This topic summarizes it.","2018-01-16 15:26:04.883509","2020-12-13 01:13:14.93784"
45,"Right to Leave The Service","To avoid lock-in and stay in control.","Once you subscribe to the service, will you have the right to leave it and remove your data?","2018-01-16 15:26:04.835981","2020-12-13 03:09:34.805399"
28,"Law and Government Requests","How do services deal with government requests?","no text here","2018-01-16 15:26:04.4715","2020-12-13 03:17:06.927129"
57,"Advertising","The ads you see everywhere.","How does the service manage your data regarding advertising? How strongly are third parties involved regarding advertising? How much choice do you have on advertising? This topic specifies those kinds of disclosures.","2020-12-14 23:56:27.556925","2020-12-14 23:56:27.556925"
36,"Transparency","Transparency and Education","The level of information provided by the â€ªservice that is beneficial (or otherwise) to the user.","2018-01-16 15:26:04.650749","2021-02-17 23:16:53.833649"
37,"Waivers","The Rights You Give Up","These are generally rights for the consumer that you have under law, but which your agreement with the service takes away from you.","2018-01-16 15:26:04.66792","2021-02-17 23:19:53.686391"
42,"Dispute Resolution","How can be resolved the disputes between you and the service you're using?","If a party does something illegal or harms either on a physical or financial way another party, they may start a dispute. The terms of most services set some rules related to dispute resolution, which may negatively affect your rights. Therefore, it is essential to understand what they imply.","2018-01-16 15:26:04.778629","2021-05-24 08:29:08.618819"
